ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	SC	MI	MAG	NCCP	NCCS	NCTP	NCT	S    RCC	RCT	CID
447777	40.878949	28.221076	3.09	-2914.2	664.8	-3459.3	15.3	17.8	40	2019	9	24	15	47	2.88	2	0	0	110	93	-9	0.051	1
447779	40.87003	28.240296	3.727	-1294.2	-325.5	-2822.1	15.2	16.6	32.6	2019	9	24	18	3	22.52	1.6	0	0	70	58	-9	0.057	1
924185946	40.880578	28.231402	3.418	-2043.7	845.7	-3132	15	12.9	49.5	2019	9	24	18	59	47.32	1.7	0	0	43	84	-9	0.055	1
924200900	40.873013	28.236794	7.544	-1589.3	5.8	994.5	19	20.7	41.2	2019	9	24	20	9	1	1.7	0	0	74	126	-9	0.058	1
924205733	40.868187	28.24035	6.716	-1289.6	-530.2	166.5	32.8	28	50.8	2019	9	24	20	57	33.6	1.9	0	0	84	80	-9	0.057	1
447795	40.870327	28.230496	8.601	-2120.3	-292.5	2052.5	25.2	21.8	55.3	2019	9	24	21	47	57.26	1.5	0	0	16	28	-9	0.039	1
447793	40.878987	28.218658	5.149	-3118	669.1	-1400.3	27.4	20.1	49.1	2019	9	24	22	9	27.32	2	0	0	17	28	-9	0.057	1
925025710	40.877631	28.231391	2.115	-2044.7	518.5	-4434.5	27.7	21.8	32.9	2019	9	25	2	57	10.85	1.5	0	0	50	50	-9	0.046	1
447810	40.876729	28.256256	2.917	51.3	418.3	-3632.4	21.4	18.4	25.6	2019	9	25	4	9	24.88	1.6	0	0	63	70	-9	0.051	1
447841	40.88577	28.247251	3.595	-707.8	1422.2	-2954.1	32.9	33.5	52.5	2019	9	25	10	24	55.33	1.8	0	0	46	56	-9	0.065	1
447847	40.878401	28.217334	3.7	-3229.6	604	-2849.9	22.2	18.6	48	2019	9	25	13	7	59.44	3.4	0	0	51	46	-9	0.055	1
447853	40.885247	28.21818	0.947	-3158.1	1364.2	-5602.9	19.6	20.9	13	2019	9	25	14	27	59.53	1.9	0	0	27	26	-9	0.06	1
447857	40.881385	28.220277	7.018	-2981.4	935.4	468.6	13.1	12.9	32.3	2019	9	25	15	36	10.73	3	0	0	308	238	-9	0.058	1
447859	40.880337	28.224482	6.729	-2627	819	179.4	15.1	16.9	36.3	2019	9	25	16	0	4.77	2.8	0	0	301	291	-9	0.057	1
447881	40.888188	28.226315	5.957	-2472.3	1690.8	-592.2	11.7	12	29.2	2019	9	25	23	43	38.32	1.7	0	0	101	126	-9	0.052	1
447913	40.876104	28.226887	8.863	-2424.4	348.9	2313.9	32.5	28.7	61.5	2019	9	26	7	32	7.28	3.8	0	0	97	61	-9	0.056	1
926075246	40.879175	28.225252	4.926	-2562.2	690	-1623.9	24.5	22.5	35.3	2019	9	26	7	52	46.99	2.5	0	0	280	205	-9	0.058	1
926082708	40.879521	28.213638	6.079	-3541.1	728.4	-470.5	33.7	20.1	59.7	2019	9	26	8	27	8.91	2.3	0	0	155	121	-9	0.064	1
447920	40.873913	28.246971	6.858	-731.4	105.6	308.5	17.1	24.2	39	2019	9	26	9	0	17.07	3.1	0	0	139	68	-9	0.057	1
447923	40.885033	28.21348	7.741	-3554.3	1340.5	1191.9	18	20.5	32.5	2019	9	26	10	59	25.36	5.8	0	0	78	39	-9	0.059	1
926110438	40.887775	28.230442	10.63	-2124.5	1644.9	4079.9	34.8	36	107.7	2019	9	26	11	4	39.52	2.4	0	0	37	26	-9	0.065	1
926110509	40.874576	28.252235	1.55	-287.7	179.3	-4999.4	36.4	31.8	40.1	2019	9	26	11	5	10.41	2.2	0	0	27	23	-9	0.059	1
926110610	40.882538	28.237966	3.574	-1490.4	1063.4	-2975.6	18.9	17.1	34.7	2019	9	26	11	6	12.07	2.1	0	0	47	59	-9	0.049	1
926110752	40.870974	28.258791	3.247	265	-220.6	-3302.1	21.5	21	31.5	2019	9	26	11	7	54.73	2.1	0	0	18	50	-9	0.048	1
447924	40.866962	28.300332	6.655	3766.9	-666.2	105.3	14.5	15.3	23.9	2019	9	26	11	8	59.98	3	0	0	221	192	-9	0.056	1
447927	40.873831	28.278729	1.786	1945.6	96.5	-4763.4	24.8	28.2	37.6	2019	9	26	11	11	35.25	3.9	0	0	87	60	-9	0.058	1
447935	40.868079	28.294703	3.803	3292.3	-542.1	-2746.8	16	17	24.3	2019	9	26	11	13	24.78	2.5	0	0	135	95	-9	0.061	1
926111424	40.886387	28.210457	8.561	-3809	1490.8	2011.4	17.8	14.2	30	2019	9	26	11	14	25.22	2.7	0	0	180	197	-9	0.06	1
447928	40.880973	28.272184	6.649	1393.9	889.6	99.2	15.7	22.5	47	2019	9	26	11	19	55.44	3.2	0	0	158	105	-9	0.051	1
447929	40.884572	28.228522	6.486	-2286.4	1289.2	-64.1	11.7	14.1	26.7	2019	9	26	11	21	17.5	2.6	0	0	219	242	-9	0.058	1
447930	40.882081	28.236322	4.59	-1629	1012.7	-1959.5	17.3	18	33.2	2019	9	26	11	22	55.61	2.3	0	0	162	127	-9	0.055	1
447932	40.853241	28.262307	0.624	561.4	-2189.8	-5925.2	70.2	62.8	46	2019	9	26	11	23	52.83	2.4	0	0	3	2	-9	0.058	1
447925	40.867809	28.29929	8.471	3679	-572.2	1921.1	27.1	39.6	54.7	2019	9	26	11	26	37.02	4.4	0	0	17	9	-9	0.053	1
447942	40.867309	28.278215	6.452	1902.4	-627.7	-97.6	23.2	14.9	30.2	2019	9	26	11	28	47.26	2.9	0	0	249	187	-9	0.059	1
447944	40.880853	28.265914	7.891	865.4	876.3	1341.9	24.6	21.7	46.7	2019	9	26	11	29	15.07	3.1	0	0	119	82	-9	0.06	1
447931	40.882904	28.226097	7.147	-2490.8	1104.1	597.8	13.7	18.6	36.3	2019	9	26	11	31	52.21	3.1	0	0	244	242	-9	0.059	1
447933	40.88386	28.219606	9.86	-3037.9	1210.2	3310.1	22.3	20.3	32.4	2019	9	26	11	34	3.88	3.2	0	0	65	47	-9	0.057	1
447940	40.886296	28.219552	8.403	-3042.5	1480.7	1853	25.3	22.9	43.6	2019	9	26	11	35	48.75	2	0	0	156	107	-9	0.058	1
926113817	40.879964	28.210908	13.44	-3771.2	777.6	6890	20.3	19	39.6	2019	9	26	11	38	17.27	2.1	0	0	6	5	-9	0.032	1
447943	40.880359	28.211472	3.504	-3723.7	821.4	-3045.7	20.3	19.1	23.2	2019	9	26	11	39	12.19	1.9	0	0	38	56	-9	0.049	1
447938	40.873618	28.293153	7.679	3161.5	72.9	1128.9	16.7	23.4	33.4	2019	9	26	11	42	56.62	2.6	0	0	86	92	-9	0.06	1
447939	40.860723	28.29597	4.857	3399.3	-1358.9	-1693	18.9	25.2	41.3	2019	9	26	11	45	35.15	2.5	0	0	162	131	-9	0.061	1
447941	40.871067	28.299927	1.492	3732.6	-210.4	-5057.8	20.8	18.3	23.3	2019	9	26	11	51	26.49	2.3	0	0	114	130	-9	0.059	1
447945	40.878519	28.223811	4.83	-2683.7	617.2	-1719.7	21.3	17.1	30.8	2019	9	26	11	53	46.55	2	0	0	92	70	-9	0.056	1
447948	40.88573	28.216154	6.914	-3328.8	1417.8	364.9	23	19.5	46.4	2019	9	26	11	58	44.97	1.9	0	0	127	167	-9	0.061	1
447946	40.876588	28.265645	5.035	842.7	402.7	-1514.9	18.5	19.9	50.5	2019	9	26	12	0	26.12	2.3	0	0	76	53	-9	0.067	1
448279	40.871407	28.310809	3.436	4650	-172.6	-3113.5	16	15	19.9	2019	9	26	12	3	46.6	2.3	0	0	315	182	-9	0.058	1
447950	40.877788	28.224312	6.935	-2641.4	536	385.4	9.9	11.8	21.5	2019	9	26	12	4	20.55	2.7	0	0	282	293	-9	0.06	1
448278	40.86572	28.258691	4.652	256.6	-804.1	-1898	18.8	27.3	47.1	2019	9	26	12	9	17.45	2.2	0	0	37	42	-9	0.055	1
447949	40.878697	28.270092	9.297	1217.5	636.9	2747.6	31.2	27	56.5	2019	9	26	12	17	10.04	3.9	0	0	20	16	-9	0.05	1
926122105	40.879996	28.216766	5.379	-3277.5	781.1	-1170.1	19.7	14	42.3	2019	9	26	12	21	5.94	1.7	0	0	172	159	-9	0.053	1
926122239	40.879576	28.237152	5.63	-1559.1	734.5	-919.6	14.7	14.8	31.9	2019	9	26	12	22	40.04	2.2	0	0	236	155	-9	0.058	1
447951	40.859537	28.287132	5.309	2654.2	-1490.6	-1241.1	27.3	26.9	51.6	2019	9	26	12	26	11.56	3.9	0	0	212	143	-9	0.057	1
447953	40.874912	28.298944	1.042	3649.6	216.6	-5507.2	28.9	27.2	25.4	2019	9	26	12	31	6.74	1.8	0	0	108	59	-9	0.058	1
447954	40.876408	28.268846	3.853	1112.5	382.7	-2696.3	26.6	27.5	47.5	2019	9	26	12	41	59.65	1.9	0	0	23	23	-9	0.058	1
926125045	40.866125	28.295896	6.064	3393	-759.1	-486	25.3	21.6	30.1	2019	9	26	12	50	46.96	1.6	0	0	73	70	-9	0.064	1
447957	40.872797	28.255872	7.09	18.9	-18.2	540	14.9	15.9	29.8	2019	9	26	12	52	10.76	2.4	0	0	146	142	-9	0.056	1
926125353	40.896446	28.304416	7.662	4110.3	2607.8	1112.2	10.5	11.8	34	2019	9	26	12	53	53.98	1.6	0	0	13	20	-9	0.047	1
447955	40.881954	28.227746	8.646	-2351.9	998.5	2096.2	20.6	18.4	41.7	2019	9	26	12	59	0.63	3.7	0	0	247	209	-9	0.061	1
926131017	40.879313	28.22592	8.193	-2505.8	705.3	1643.1	14	24	48.9	2019	9	26	13	10	17.78	1.8	0	0	90	182	-9	0.059	1
447961	40.86799	28.287382	14.951	2675.2	-552.1	8400.9	43.4	53.3	100	2019	9	26	13	17	45.8	1.7	0	0	2	3	-9	0.007	1
447962	40.866869	28.297744	3.851	3548.7	-676.5	-2698.5	13.4	16.6	32.1	2019	9	26	13	22	45.41	2.5	0	0	284	208	-9	0.059	1
447964	40.878659	28.259717	7.833	343	632.7	1283	15.6	16.4	34.3	2019	9	26	13	25	44.86	2.3	0	0	165	128	-9	0.06	1
447963	40.882679	28.267614	7.115	1008.7	1079.1	565.4	16.8	19.4	32.3	2019	9	26	13	25	45	2.1	0	0	178	132	-9	0.052	1
447965	40.880104	28.213361	9.052	-3564.5	793.1	2502.8	20.3	19.1	41.1	2019	9	26	13	33	44.55	3.3	0	0	205	154	-9	0.061	1
447967	40.891296	28.230773	3.224	-2096.5	2035.9	-3325.2	18.1	16.6	24.5	2019	9	26	13	43	32.75	2	0	0	58	69	-9	0.056	1
447968	40.870031	28.27504	7.797	1634.7	-325.4	1247.7	29.1	28.9	52.5	2019	9	26	13	44	37.96	3.3	0	0	176	102	-9	0.062	1
448283	40.886865	28.232129	5.828	-1982.3	1543.9	-721.2	23.4	20.7	63.1	2019	9	26	13	48	16.39	1.7	0	0	58	141	-9	0.051	1
448285	40.884059	28.241309	3.699	-1208.6	1232.3	-2850.4	32.2	28.5	38.9	2019	9	26	13	48	38.71	1.8	0	0	19	22	-9	0.045	1
926135427	40.856926	28.284561	6.918	2437.6	-1780.6	368.2	44.4	30.7	69.6	2019	9	26	13	54	28.03	1.6	0	0	7	15	-9	0.065	1
447969	40.880408	28.209261	7.497	-3910	826.9	947.3	15	15.5	30.5	2019	9	26	13	57	1.73	3.4	0	0	277	199	-9	0.059	1
447970	40.88952	28.207406	9.054	-4066.1	1838.7	2504	20.5	21.7	52	2019	9	26	14	1	57.09	2.7	0	0	130	105	-9	0.061	1
926140413	40.86788	28.228794	4.83	-2263.8	-564.3	-1719.6	28.4	37	57.8	2019	9	26	14	4	14.69	1.6	0	0	27	22	-9	0.055	1
447971	40.874956	28.256312	6.993	56	221.4	443.6	16.9	17.5	36.9	2019	9	26	14	7	51.96	2.9	0	0	248	187	-9	0.059	1
447972	40.875037	28.252757	7.25	-243.7	230.4	699.9	15.5	15.3	33.1	2019	9	26	14	10	38.73	2.6	0	0	161	137	-9	0.056	1
447973	40.864313	28.294683	1.982	3290.7	-960.3	-4568	16.5	17.4	22.2	2019	9	26	14	14	59.74	1.8	0	0	186	111	-9	0.059	1
926141956	40.872838	28.305892	1.238	4235.4	-13.7	-5311.6	22.9	23.9	20.5	2019	9	26	14	19	56.58	1.6	0	0	75	101	-9	0.054	1
447975	40.882583	28.210454	6.01	-3809.4	1068.4	-539.5	23.7	13.6	47.1	2019	9	26	14	26	43.27	1.6	0	0	156	124	-9	0.057	1
447977	40.863296	28.289752	3.333	2875.1	-1073.2	-3216.8	23	18.7	27.3	2019	9	26	14	48	5.31	2.1	0	0	179	125	-9	0.062	1
926145219	40.881448	28.274211	5.51	1564.7	942.3	-1039.8	18.8	24.3	43.3	2019	9	26	14	52	20.6	1.7	0	0	60	73	-9	0.054	1
447979	40.88702	28.213043	7.421	-3591.1	1561	871.5	14.6	27.3	48.7	2019	9	26	14	55	37.94	1.5	0	0	126	119	-9	0.057	1
447978	40.883518	28.234467	6.069	-1785.3	1172.2	-480.3	16.8	18.3	48.1	2019	9	26	14	56	48.87	1.7	0	0	186	184	-9	0.059	1
447981	40.895325	28.283565	8.922	2352.9	2483.3	2372.4	16.5	15.8	33.8	2019	9	26	15	4	58.13	2.1	0	0	6	11	-9	0.049	1
447982	40.873771	28.298446	2.251	3607.7	89.9	-4298.5	19	17.4	24.7	2019	9	26	15	6	44.86	1.5	0	0	193	182	-9	0.055	1
447983	40.88169	28.256994	1.856	113.5	969.2	-4693.7	26.8	20.5	26.4	2019	9	26	15	13	10.88	1.6	0	0	56	73	-9	0.06	1
926151400	40.880869	28.225942	5.993	-2503.9	878.1	-556.1	17.8	16.3	34.8	2019	9	26	15	14	1.64	1.6	0	0	56	72	-9	0.051	1
447984	40.86884	28.297587	1.964	3535.5	-457.7	-4585.4	17.6	15.4	24.6	2019	9	26	15	18	23.62	2	0	0	333	197	-9	0.058	1
447985	40.885591	28.20294	9.566	-4442.6	1402.4	3016.8	17.3	15	32.1	2019	9	26	15	23	2.18	2	0	0	113	91	-9	0.06	1
447987	40.875728	28.253722	4.99	-162.3	307.2	-1559.4	16.1	15.6	31.4	2019	9	26	15	25	32.01	2.1	0	0	75	94	-9	0.054	1
447988	40.84981	28.266151	5.757	885.5	-2570.8	-792.7	37	35.6	61.9	2019	9	26	15	28	6.59	2	0	0	12	13	-9	0.053	1
448296	40.876669	28.311137	1.474	4677.4	411.7	-5075.3	27.8	22.9	42.5	2019	9	26	15	31	16.38	1.9	0	0	100	84	-9	0.051	1
447991	40.855691	28.273667	6.159	1519.1	-1917.7	-390.4	17.7	18.2	37	2019	9	26	15	38	53.71	2.6	0	0	82	52	-9	0.056	1
447990	40.856	28.262427	10.785	571.5	-1883.4	4235.5	32.8	32.7	66.3	2019	9	26	15	39	22.03	3.5	0	0	16	17	-9	0.063	1
447992	40.85962	28.278274	7.356	1907.5	-1481.5	806.2	30.4	28.3	45	2019	9	26	15	50	39.06	2.6	0	0	139	80	-9	0.062	1
447993	40.862156	28.290339	3.905	2924.6	-1199.9	-2644.3	17.2	15.4	29.6	2019	9	26	15	52	19.91	2.4	0	0	203	155	-9	0.06	1
447995	40.877029	28.26824	3.201	1061.4	451.7	-3348.9	40.7	25.7	32	2019	9	26	16	3	10.49	1.6	0	0	55	53	-9	0.053	1
447996	40.895778	28.212837	5.316	-3608.2	2533.5	-1233.1	29.8	27.5	57.1	2019	9	26	16	3	52.5	1.9	0	0	44	49	-9	0.061	1
447997	40.876296	28.227204	6.919	-2397.6	370.2	369.9	20.9	15.8	44.7	2019	9	26	16	4	53.97	1.6	0	0	83	101	-9	0.056	1
447999	40.873908	28.302025	5.873	3909.4	105.1	-676.7	20.4	17.2	37.4	2019	9	26	16	12	30.23	1.7	0	0	123	119	-9	0.056	1
926161730	40.851851	28.247296	0.593	-704.1	-2344.1	-5956.7	69.7	63.2	46	2019	9	26	16	17	31.77	1.8	0	0	3	2	-9	0.058	1
448002	40.857442	28.282069	15.173	2227.5	-1723.3	8623.1	30.1	67.7	155	2019	9	26	16	23	45.1	1.8	0	0	3	4	-9	0.031	1
448000	40.867294	28.296	1.559	3401.7	-629.4	-4990.5	28.4	24.5	31.7	2019	9	26	16	26	16.53	1.8	0	0	253	205	-9	0.057	1
448005	40.887958	28.321852	3.944	5580.2	1665.3	-2606	20.5	21	27.6	2019	9	26	16	35	26.31	3	0	0	27	16	-9	0.06	1
448006	40.886994	28.221398	9.517	-2886.8	1558.2	2967.7	26	25.9	40.5	2019	9	26	16	45	14.16	1.6	0	0	8	20	-9	0.054	1
448007	40.86615	28.304052	6.007	4080.5	-756.3	-543	15.2	16	38.5	2019	9	26	16	49	20.44	2.3	0	0	145	160	-9	0.056	1
448008	40.883914	28.243073	7.518	-1059.9	1216.2	968.8	22.6	23.7	37.1	2019	9	26	16	51	8.23	1.7	0	0	49	63	-9	0.054	1
448009	40.869675	28.30311	1.651	4001	-364.9	-4898.5	24.1	23	28.5	2019	9	26	16	51	59.31	1.7	0	0	162	61	-9	0.056	1
448010	40.881167	28.220026	6.164	-3002.6	911.1	-386	13.9	13.9	28	2019	9	26	17	0	49.36	1.9	0	0	153	192	-9	0.055	1
448011	40.870458	28.321262	3.669	5531.2	-278	-2880.5	15.5	20.7	30.1	2019	9	26	17	3	31.84	2.2	0	0	149	109	-9	0.061	1
448012	40.875912	28.213854	2.329	-3523	327.7	-4220.4	21.3	18.6	30.7	2019	9	26	17	16	34.28	1.5	0	0	50	49	-9	0.055	1
926172325	40.875687	28.254023	2.328	-137	302.7	-4221.3	27.5	21.3	31.6	2019	9	26	17	23	28.6	1.5	0	0	60	68	-9	0.052	1
448013	40.870815	28.27617	7.034	1730	-238.4	484	21.3	23.7	46.4	2019	9	26	17	26	31.4	1.5	0	0	88	76	-9	0.055	1
448014	40.881141	28.267136	2.677	968.4	908.3	-3872.9	21.9	18.8	25.1	2019	9	26	17	31	32.18	1.7	0	0	16	46	-9	0.042	1
448015	40.88242	28.234919	7.495	-1747.3	1050.2	945.4	26.6	29.5	56.2	2019	9	26	17	36	21.4	1.7	0	0	16	24	-9	0.06	1
448016	40.884377	28.222652	3.262	-2781.2	1267.6	-3287.3	17.5	17	24.9	2019	9	26	17	41	27.12	1.6	0	0	72	71	-9	0.056	1
448305	40.889655	28.222846	6.004	-2764.7	1853.7	-546	18.7	17	37	2019	9	26	17	58	50.16	2.1	0	0	74	145	-9	0.058	1
448304	40.869324	28.308413	4.9	4448	-403.9	-1649.3	21.7	18.7	62.6	2019	9	26	17	59	22.04	1.5	0	0	50	102	-9	0.063	1
448023	40.864854	28.295955	4.728	3397.9	-900.3	-1821.2	19.7	17.8	36.2	2019	9	26	18	6	23.32	2	0	0	75	47	-9	0.053	1
448348	40.878037	28.250124	2.981	-465.6	563.6	-3568.9	18.7	18.2	25.2	2019	9	26	18	11	31	1.5	0	0	59	52	-9	0.048	1
448025	40.890907	28.209849	2.948	-3860.2	1992.8	-3601.4	7.3	5.4	13.9	2019	9	26	18	20	52.72	2.5	0	0	1	5	-9	0.035	1
448308	40.884132	28.252291	1.438	-282.9	1240.4	-5111.1	29.2	21.5	32.8	2019	9	26	18	22	15.96	1.7	0	0	31	24	-9	0.044	1
448026	40.866189	28.303956	5.624	4072.4	-752	-925.5	15.3	14.6	30.7	2019	9	26	18	26	44.12	2.5	0	0	233	182	-9	0.056	1
448027	40.879229	28.279098	2.524	1976.7	696	-4025.4	24	21	23.2	2019	9	26	18	30	55.1	1.5	0	0	36	47	-9	0.044	1
448028	40.876269	28.248472	3.698	-604.9	367.2	-2851.8	23.8	20.8	35.8	2019	9	26	18	38	18.02	1.6	0	0	70	80	-9	0.052	1
448029	40.889778	28.211917	9.193	-3685.9	1867.4	2643.2	14.2	17.8	37.1	2019	9	26	18	38	52.24	1.6	0	0	64	99	-9	0.052	1
448030	40.863073	28.303876	3.288	4065.8	-1098	-3261.6	27.7	27	43.4	2019	9	26	18	39	54.44	1.6	0	0	203	124	-9	0.063	1
448032	40.872886	28.272583	6.638	1427.6	-8.4	88.2	44.2	46	80.7	2019	9	26	18	41	29.56	1.6	0	0	4	9	-9	0.053	1
448034	40.868398	28.288739	8.906	2789.5	-506.7	2356.5	19.7	16.9	30.1	2019	9	26	18	50	38.36	1.6	0	0	30	36	-9	0.056	1
448038	40.880871	28.221658	7.332	-2865.1	878.3	782.7	16.7	12.9	32.6	2019	9	26	19	9	59.84	2.4	0	0	303	252	-9	0.058	1
448040	40.88086	28.224943	7.694	-2588.2	877	1144.4	12.9	9.5	21.6	2019	9	26	19	19	57.3	2.2	0	0	354	273	-9	0.057	1
448042	40.871689	28.308887	1.865	4487.9	-141.3	-4684.4	30.5	24.5	28.3	2019	9	26	19	38	0.76	1.7	0	0	182	121	-9	0.06	1
448043	40.86993	28.29254	6.771	3110	-336.6	221.1	16.8	17.1	27.1	2019	9	26	19	43	49.42	2	0	0	163	215	-9	0.056	1
448047	40.884035	28.22614	6.377	-2487.2	1229.7	-172.8	18.6	16.7	33.8	2019	9	26	19	45	46.8	2.1	0	0	82	111	-9	0.056	1
448049	40.87017	28.277385	7.188	1832.4	-309.9	638.8	29.4	34.3	69.6	2019	9	26	19	51	5.72	1.6	0	0	7	13	-9	0.048	1
448050	40.876862	28.228979	6.471	-2248	433.2	-78.5	17.2	16.4	39	2019	9	26	19	56	6.24	1.6	0	0	176	310	-9	0.056	1
448045	40.873093	28.306139	6.787	4256.2	14.6	237.7	22.7	20.7	41.9	2019	9	26	20	2	41.2	3.8	0	0	141	95	-9	0.061	1
926200450	40.858487	28.276977	6.792	1798.2	-1607.2	242.9	28	23.1	33.9	2019	9	26	20	4	52.14	1.8	0	0	84	98	-9	0.058	1
448048	40.881758	28.242222	8.512	-1131.7	976.7	1962.3	14.8	20.1	36.5	2019	9	26	20	6	22.04	2.2	0	0	116	81	-9	0.059	1
926200753	40.881747	28.23557	2.761	-1692.4	975.6	-3788.9	17.7	14	21.9	2019	9	26	20	7	54.64	1.5	0	0	77	64	-9	0.054	1
926201521	40.881961	28.213817	4.81	-3525.9	999.3	-1739.3	21.1	13.6	36.5	2019	9	26	20	15	22.04	2	0	0	116	108	-9	0.057	1
448046	40.871452	28.248069	6.791	-638.9	-167.6	241.3	14.3	20	34.8	2019	9	26	20	20	19.22	4.2	0	0	177	91	-9	0.059	1
448356	40.868442	28.267225	1.869	975.9	-501.8	-4681.1	31	27	30.4	2019	9	26	20	26	22.2	1.8	0	0	73	73	-9	0.06	1
